"Avg_Load"
37007.6761540507
33884.8973746107
32723.5307940383
34801.0390737093
38348.1342762716
46345.5721884016
51364.2118000396
49011.8660572214
45769.1881044899
39276.750427903
33963.8399811941
37205.5513645902
36715.6087892934
34201.6936090176
34941.6993427038
36188.5479907871
40432.8903869742
47100.923675476
51518.0820591667
48871.1453041815
44582.9708980944
38949.1817755484
36031.854558957
39221.6663881841
42055.7021048831
38316.7760818497
35208.464072825
35742.5175671347
45302.4309500417
51904.4983270625
53249.9939258535
52671.2154110591
45114.4996440639
39152.7485988051
37606.2177404688
38586.3740667823
40079.9201537581
38808.5887640833
37396.891764397
37205.2971129847
43047.6289382446
48829.5403518444
52717.8865460121
56263.7604211855
51791.4371709319
41250.281736164
38577.6482102483
39396.2952987097
39022.6312311331
40245.0597578017
37959.2689525666
37439.1898601181
42028.3434985013
49299.5358838528
54186.102986125
54874.8920758575
45550.7586103431
42017.3741020927
37882.6446657684
40715.3374593347
